wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;67303;161;30379;63;t0201
dolnoœl¹skie;dzier¿oniowski;63223;42;29496;2;t0202
dolnoœl¹skie;g³ogowski;58680;16;26462;16;t0203
dolnoœl¹skie;górowski;25126;40;11374;40;t0204
dolnoœl¹skie;jaworski;36696;87;16467;54;t0205
dolnoœl¹skie;jeleniogórski;47941;115;22343;58;t0206
dolnoœl¹skie;kamiennogórski;28512;78;13306;60;t0207
dolnoœl¹skie;k³odzki;118175;102;54900;28;t0208
dolnoœl¹skie;legnicki;41076;0;18293;0;t0209
dolnoœl¹skie;lubañski;27051;50;11174;1;t0210
dolnoœl¹skie;lubiñski;117863;147;56296;26;t0211
dolnoœl¹skie;lwówecki;38115;44;17558;35;t0212
dolnoœl¹skie;milicki;31471;0;14666;0;t0213
dolnoœl¹skie;oleœnicki;85997;278;38690;200;t0214
dolnoœl¹skie;o³awski;43080;0;20585;0;t0215
dolnoœl¹skie;polkowicki;38787;57;16828;38;t0216
dolnoœl¹skie;strzeliñski;34688;25;16026;6;t0217
dolnoœl¹skie;œredzki;20377;48;9588;22;t0218
dolnoœl¹skie;œwidnicki;92561;251;42375;195;t0219
dolnoœl¹skie;trzebnicki;55189;91;26100;91;t0220
dolnoœl¹skie;wa³brzyski;29854;1;14068;1;t0221
dolnoœl¹skie;wo³owski;39367;84;17598;42;t0222
dolnoœl¹skie;wroc³awski;96975;29;45843;9;t0223
dolnoœl¹skie;z¹bkowicki;51134;84;24002;54;t0224
dolnoœl¹skie;zgorzelecki;53310;33;24227;10;t0225
dolnoœl¹skie;z³otoryjski;31980;50;14123;36;t0226
dolnoœl¹skie;Jelenia Góra;83426;284;39850;207;t0261
dolnoœl¹skie;Legnica;83538;86;39202;65;t0262
dolnoœl¹skie;Wroc³aw;997848;1808;468371;1239;t0264
dolnoœl¹skie;Wa³brzych;201935;435;94315;399;t0265
kujawsko-pomorskie;aleksandrowski;127467;107;60586;16;t0401
kujawsko-pomorskie;brodnicki;65464;218;30202;108;t0402
kujawsko-pomorskie;bydgoski;71640;72;33020;39;t0403
kujawsko-pomorskie;che³miñski;38151;20;17728;9;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;33079;247;15133;243;t0405
kujawsko-pomorskie;grudzi¹dzki;23620;52;10487;8;t0406
kujawsko-pomorskie;inowroc³awski;98545;181;46471;155;t0407
kujawsko-pomorskie;lipnowski;48225;30;21543;12;t0408
kujawsko-pomorskie;mogileñski;28012;38;12942;16;t0409
kujawsko-pomorskie;nakielski;76387;127;34385;60;t0410
kujawsko-pomorskie;radziejowski;41662;0;18892;0;t0411
