data;liczba_szczepien_dziennie
27.12.2020;2171
28.12.2020;4386
29.12.2020;10028
30.12.2020;20328
31.12.2020;10615
01.01.2021;1357
02.01.2021;2262
03.01.2021;641
04.01.2021;40628
05.01.2021;55352
06.01.2021;18764
07.01.2021;30379
08.01.2021;11832
09.01.2021;2263
10.01.2021;996
11.01.2021;47666
12.01.2021;63464
13.01.2021;55187
14.01.2021;46580
15.01.2021;26255
16.01.2021;20997
17.01.2021;12076
18.01.2021;28354
19.01.2021;49468
20.01.2021;51261
21.01.2021;53092
22.01.2021;38250
23.01.2021;16880
24.01.2021;5372
25.01.2021;73331
26.01.2021;133030
27.01.2021;104852
28.01.2021;89613
29.01.2021;43763
30.01.2021;16271
31.01.2021;8695
01.02.2021;57188
02.02.2021;114809
03.02.2021;121918
04.02.2021;107386
05.02.2021;52135
06.02.2021;24716
07.02.2021;16398
08.02.2021;33145
09.02.2021;89868
10.02.2021;113500
11.02.2021;111992
12.02.2021;75933
13.02.2021;35686
14.02.2021;14734
15.02.2021;36433
16.02.2021;71918
17.02.2021;155343
18.02.2021;175056
19.02.2021;103370
20.02.2021;36025
21.02.2021;16073
22.02.2021;43453
23.02.2021;71980
24.02.2021;161096
25.02.2021;175230
26.02.2021;103801
27.02.2021;44808
28.02.2021;18074
01.03.2021;46176
02.03.2021;82546
03.03.2021;156943
04.03.2021;174178
05.03.2021;108853
06.03.2021;49863
07.03.2021;18031
08.03.2021;34575
09.03.2021;63922
10.03.2021;143481
11.03.2021;163034
12.03.2021;95191
13.03.2021;30003
14.03.2021;11896
15.03.2021;25830
16.03.2021;47914
17.03.2021;134075
18.03.2021;155460
19.03.2021;89561
20.03.2021;29810
21.03.2021;10657
22.03.2021;51938
23.03.2021;118066
24.03.2021;192172
25.03.2021;216674
26.03.2021;162420
27.03.2021;92191
28.03.2021;35767
29.03.2021;80128
30.03.2021;117624
31.03.2021;190925
01.04.2021;205459
02.04.2021;153177
03.04.2021;36441
04.04.2021;3368
05.04.2021;3909
06.04.2021;126221
07.04.2021;220901
08.04.2021;258423
09.04.2021;220735
10.04.2021;154541
11.04.2021;44755
12.04.2021;106497
13.04.2021;186872
14.04.2021;254925
15.04.2021;268132
16.04.2021;201382
17.04.2021;140678
18.04.2021;39817
19.04.2021;109449
20.04.2021;203179
21.04.2021;283287
22.04.2021;306613
23.04.2021;260201
24.04.2021;206056
25.04.2021;56079
26.04.2021;139793
27.04.2021;254146
28.04.2021;345611
29.04.2021;388411
30.04.2021;358095
01.05.2021;121899
02.05.2021;59476
03.05.2021;47130
04.05.2021;234713
05.05.2021;399536
06.05.2021;424581
07.05.2021;379651
08.05.2021;258760
09.05.2021;82540
10.05.2021;188859
11.05.2021;321466
12.05.2021;434821
13.05.2021;442120
14.05.2021;374070
15.05.2021;278203
16.05.2021;90362
17.05.2021;149325
18.05.2021;331739
19.05.2021;446550
20.05.2021;445901
21.05.2021;357253
22.05.2021;241386
23.05.2021;68172
24.05.2021;135737
25.05.2021;306430
26.05.2021;397760
27.05.2021;387585
28.05.2021;350105
29.05.2021;278699
30.05.2021;91890
31.05.2021;167794
01.06.2021;467635
02.06.2021;653448
03.06.2021;141279
04.06.2021;431809
05.06.2021;272128
06.06.2021;99152
07.06.2021;203635
08.06.2021;401728
09.06.2021;508384
10.06.2021;485911
11.06.2021;426215
12.06.2021;319076
13.06.2021;102768
14.06.2021;214426
15.06.2021;375863
16.06.2021;434590
17.06.2021;403406
18.06.2021;326851
19.06.2021;220902
20.06.2021;66613
21.06.2021;169097
22.06.2021;342480
23.06.2021;401403
24.06.2021;381846
25.06.2021;310493
26.06.2021;203569
27.06.2021;61055
28.06.2021;146694
29.06.2021;289159
30.06.2021;358051
01.07.2021;300390
02.07.2021;244299
03.07.2021;172888
04.07.2021;50653
05.07.2021;119039
06.07.2021;251713
07.07.2021;342292
08.07.2021;264476
09.07.2021;256765
10.07.2021;210131
11.07.2021;63105
12.07.2021;115532
13.07.2021;217110
14.07.2021;287172
15.07.2021;257936
16.07.2021;210190
17.07.2021;158050
18.07.2021;41884
19.07.2021;84221
20.07.2021;164856
21.07.2021;210670
22.07.2021;180201
23.07.2021;156864
24.07.2021;98006
25.07.2021;29629
26.07.2021;72531
27.07.2021;115427
28.07.2021;141987
29.07.2021;134745
30.07.2021;120867
31.07.2021;78848
01.08.2021;32934
02.08.2021;53260
03.08.2021;83403
04.08.2021;109734
05.08.2021;110508
06.08.2021;104615
07.08.2021;61595
08.08.2021;19994
09.08.2021;47182
10.08.2021;69640
11.08.2021;82100
12.08.2021;81225
13.08.2021;79957
14.08.2021;44102
15.08.2021;27904
16.08.2021;42597
17.08.2021;59445
18.08.2021;75540
19.08.2021;72233
20.08.2021;74531
21.08.2021;42941
22.08.2021;19487
23.08.2021;37405
24.08.2021;53554
25.08.2021;67166
26.08.2021;68109
27.08.2021;73102
28.08.2021;44948
29.08.2021;22493
30.08.2021;37996
31.08.2021;51835
01.09.2021;49089
02.09.2021;54084
03.09.2021;59249
04.09.2021;32525
05.09.2021;14376
06.09.2021;26538
07.09.2021;36960
08.09.2021;44673
09.09.2021;45621
10.09.2021;50688
11.09.2021;27277
12.09.2021;11667
13.09.2021;23413
14.09.2021;32954
15.09.2021;41184
16.09.2021;43253
17.09.2021;51483
18.09.2021;26262
19.09.2021;10038
20.09.2021;23929
21.09.2021;34835
22.09.2021;40112
23.09.2021;42823
24.09.2021;64709
25.09.2021;33688
26.09.2021;12432
27.09.2021;47655
28.09.2021;62504
29.09.2021;78435
30.09.2021;83158
01.10.2021;85858
02.10.2021;32769
03.10.2021;6985
04.10.2021;44216
05.10.2021;62886
06.10.2021;77202
07.10.2021;82818
08.10.2021;87095
09.10.2021;33141
10.10.2021;6125
11.10.2021;38496
12.10.2021;58282
13.10.2021;66547
14.10.2021;68554
15.10.2021;74411
16.10.2021;28720
17.10.2021;4437
18.10.2021;35265
19.10.2021;51141
20.10.2021;68625
21.10.2021;72018
22.10.2021;81462
23.10.2021;32832
24.10.2021;5629
25.10.2021;40909
26.10.2021;58190
27.10.2021;73966
28.10.2021;78138
29.10.2021;80983
30.10.2021;27434
31.10.2021;3969
01.11.2021;1108
02.11.2021;55465
03.11.2021;87923
04.11.2021;94771
05.11.2021;112542
06.11.2021;52562
07.11.2021;6454
08.11.2021;59667
09.11.2021;90907
10.11.2021;126118
11.11.2021;8285
12.11.2021;100334
13.11.2021;42449
14.11.2021;6777
15.11.2021;69297
16.11.2021;105732
17.11.2021;127899
18.11.2021;131693
19.11.2021;156855
20.11.2021;85259
21.11.2021;12599
22.11.2021;99067
23.11.2021;141971
24.11.2021;174471
25.11.2021;186055
26.11.2021;221712
27.11.2021;138637
28.11.2021;24666
29.11.2021;155956
30.11.2021;206401
01.12.2021;235579
02.12.2021;233117
03.12.2021;270863
04.12.2021;182197
05.12.2021;35277
06.12.2021;169261
07.12.2021;224054
08.12.2021;245997
09.12.2021;238027
10.12.2021;261447
11.12.2021;185190
12.12.2021;33592
13.12.2021;161184
14.12.2021;211724
15.12.2021;234750
16.12.2021;237154
17.12.2021;258049
18.12.2021;176488
19.12.2021;39081
20.12.2021;171933
21.12.2021;196002
22.12.2021;174006
23.12.2021;90362
24.12.2021;6688
25.12.2021;283
26.12.2021;945
27.12.2021;161919
28.12.2021;236664
29.12.2021;235734
30.12.2021;164411
31.12.2021;20857
01.01.2022;761
02.01.2022;14253
03.01.2022;167393
04.01.2022;244659
05.01.2022;306019
06.01.2022;28323
07.01.2022;241555
08.01.2022;181872
09.01.2022;39423
10.01.2022;180067
11.01.2022;224509
12.01.2022;250287
13.01.2022;221956
14.01.2022;250193
15.01.2022;174865
16.01.2022;27330
17.01.2022;138876
18.01.2022;187137
19.01.2022;204470
20.01.2022;188957
21.01.2022;204273
22.01.2022;129460
23.01.2022;21826
24.01.2022;120027
25.01.2022;156260
26.01.2022;167439
27.01.2022;134016
28.01.2022;170865
29.01.2022;115577
30.01.2022;20319
31.01.2022;90630
01.02.2022;107728
02.02.2022;118717
03.02.2022;105201
04.02.2022;129481
05.02.2022;81712
06.02.2022;10945
07.02.2022;64786
08.02.2022;81736
09.02.2022;87624
10.02.2022;77592
11.02.2022;94841
12.02.2022;56236
13.02.2022;7119
14.02.2022;44022
15.02.2022;59499
16.02.2022;68513
17.02.2022;55854
18.02.2022;74244
19.02.2022;39830
20.02.2022;5964
21.02.2022;36273
22.02.2022;44152
23.02.2022;48804
24.02.2022;46299
25.02.2022;60391
26.02.2022;29487
27.02.2022;4074
28.02.2022;29780
01.03.2022;28410
02.03.2022;30818
03.03.2022;29628
04.03.2022;43278
05.03.2022;19502
06.03.2022;2727
07.03.2022;18315
08.03.2022;20173
09.03.2022;24348
10.03.2022;24454
11.03.2022;35985
12.03.2022;15257
13.03.2022;2331
14.03.2022;16828
15.03.2022;18709
16.03.2022;21700
17.03.2022;20525
18.03.2022;33016
19.03.2022;12756
20.03.2022;1853
21.03.2022;14488
22.03.2022;15419
23.03.2022;17577
24.03.2022;17435
25.03.2022;28213
26.03.2022;11100
27.03.2022;2177
28.03.2022;15056
29.03.2022;15398
30.03.2022;19363
31.03.2022;31435
01.04.2022;18304
02.04.2022;8072
03.04.2022;1969
04.04.2022;8681
05.04.2022;8670
06.04.2022;10207
07.04.2022;11209
08.04.2022;18261
09.04.2022;6964
10.04.2022;1354
11.04.2022;9061
12.04.2022;9256
13.04.2022;9831
14.04.2022;10191
15.04.2022;11259
16.04.2022;1305
17.04.2022;193
18.04.2022;357
19.04.2022;9950
