wojewodztwo;powiat_miasto;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;0;0;0;0;t00
dolnoœl¹skie;boles³awiecki;1052;144;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;357;87;0;0;t0202
dolnoœl¹skie;g³ogowski;546;84;0;0;t0203
dolnoœl¹skie;górowski;0;0;0;0;t0204
dolnoœl¹skie;jaworski;359;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;259;42;0;0;t0206
dolnoœl¹skie;kamiennogórski;259;42;0;0;t0207
dolnoœl¹skie;k³odzki;1842;267;0;0;t0208
dolnoœl¹skie;legnicki;0;0;0;0;t0209
dolnoœl¹skie;lubañski;322;48;0;0;t0210
dolnoœl¹skie;lubiñski;1428;153;0;0;t0211
dolnoœl¹skie;lwówecki;516;55;0;0;t0212
dolnoœl¹skie;milicki;268;36;0;0;t0213
dolnoœl¹skie;oleœnicki;477;96;0;0;t0214
dolnoœl¹skie;o³awski;512;107;0;0;t0215
dolnoœl¹skie;polkowicki;0;0;0;0;t0216
dolnoœl¹skie;strzeliñski;506;52;0;0;t0217
dolnoœl¹skie;œredzki;0;0;0;0;t0218
dolnoœl¹skie;œwidnicki;1514;18;0;0;t0219
dolnoœl¹skie;trzebnicki;595;93;0;0;t0220
dolnoœl¹skie;wa³brzyski;427;47;0;0;t0221
dolnoœl¹skie;wo³owski;391;89;0;0;t0222
dolnoœl¹skie;wroc³awski;162;1;0;0;t0223
dolnoœl¹skie;z¹bkowicki;500;52;0;0;t0224
dolnoœl¹skie;zgorzelecki;1574;29;0;0;t0225
dolnoœl¹skie;z³otoryjski;422;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;1003;102;0;0;t0261
dolnoœl¹skie;Legnica;1094;93;2;0;t0262
dolnoœl¹skie;Wroc³aw;19497;2184;0;0;t0264
dolnoœl¹skie;Wa³brzych;2325;249;0;0;t0265
kujawsko-pomorskie;aleksandrowski;559;48;0;0;t0401
kujawsko-pomorskie;brodnicki;459;48;0;0;t0402
kujawsko-pomorskie;bydgoski;0;0;0;0;t0403
kujawsko-pomorskie;che³miñski;334;12;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;413;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;85;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;1538;150;0;0;t0407
kujawsko-pomorskie;lipnowski;496;35;0;0;t0408
kujawsko-pomorskie;mogileñski;249;0;0;0;t0409
kujawsko-pomorskie;nakielski;319;66;0;0;t0410
kujawsko-pomorskie;radziejowski;567;0;0;0;t0411
kujawsko-pomorskie;rypiñski;319;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;403;41;0;0;t0413
kujawsko-pomorskie;œwiecki;435;41;0;0;t0414
kujawsko-pomorskie;toruñski;307;47;0;0;t0415
kujawsko-pomorskie;tucholski;350;42;0;0;t0416
kujawsko-pomorskie;w¹brzeski;155;18;0;0;t0417
kujawsko-pomorskie;w³oc³awski;90;0;0;0;t0418
kujawsko-pomorskie;¿niñski;398;54;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;8249;887;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;1813;286;0;0;t0462
kujawsko-pomorskie;Toruñ;2983;329;0;0;t0463
kujawsko-pomorskie;W³oc³awek;776;87;0;0;t0464
lubelskie;bialski;176;18;0;0;t0601
lubelskie;bi³gorajski;343;0;0;0;t0602
lubelskie;che³mski;0;0;0;0;t0603
lubelskie;hrubieszowski;416;11;0;0;t0604
lubelskie;janowski;436;78;0;0;t0605
lubelskie;krasnostawski;390;52;0;0;t0606
lubelskie;kraœnicki;258;41;0;0;t0607
lubelskie;lubartowski;265;1;0;0;t0608
lubelskie;lubelski;432;18;0;0;t0609
lubelskie;³êczyñski;618;77;0;0;t0610
lubelskie;³ukowski;396;154;0;0;t0611
